No,중요도,질문분야,질문,본문
29,★★★★★,제품/시공관련,루마 컬러필름(그린/브라운) 무엇이 특별할까요?,"1) 레이밴이란 제품명에서도 알 수 있듯이 컬러필름은 유명 썬글라스 제조업체의 고급썬글라스 색상에 맞춰 제조되었으며, 운전하는데 있어서 그린 컬러와 브라운 컬러는 시각적으로 매우 편안한 느낌을 주므로 주행시 쾌적한 느낌을 제공합니 다. 2) 시각적으로 편안하면서도 일반 메탈급보다 열반사 지속율이 높아 TSER(총태양에너지차단율)에서 우수합니다.(제품소 개 참조) 3) 피부건강에 가장 유해한 태양자외선에 대해서는 고급 썬크림의 SPF(태양차단지수-최대 50)를 훨씬 뛰어넘는(2배이상) SPF지수 100을 보유함으로써 민감한 피부의 여성이나 아기를 운전 혹은 탑승하는 경우 피부보호에 보다 큰 효과를 누 릴 수 있습니다. (루마 컬러필름은 미국 피부암협회 권장상품입니다.) 4) 태양의 눈부심현상을 현저히 감소시켜(최대 90%) 안전운전및 쾌적운전을 극대화시켜 줍니다. 5) 그린 컬러는 모든 차종의 색상에 어울리며, 브라운 컬러는 흰색과 빨강색 차량에 시공하면 차량을 더욱 돋보이게 해 줍 니다."
28,★★★★★,제품/시공관련,시공후 진품과 가품(짝퉁필름)의 구별이 가능한지요?,"썬팅(윈도우틴팅)필름은 시공후엔 전문가도 식별하지 못할 정도로 진품과 짝퉁의 구별이 대단히 어렵습니다. 그 이유는 아래와 같습니다. 1. 짝퉁필름들은 루마필름의 색상을 벤치마킹하여 제조되기 때문에 시공된 후 육안으로 진품인지 짝퉁인지 구별이 매우 어렵습니다. 2. 불과 몇년전만 하더라도 필름을 벗긴 후, 접착제(본드) 냄새를 맡으면 짝퉁필름의 경우 매우 고약한 냄새가 나서, 이 냄새만으로도 구별이 되었지만, 현재는 짝퉁필름도 루마필름에서 적용하는 접착제와 거의 흡사한 접착제를 사용하므로 접착제 냄새로 구별하기도 사실상 불가능합니다. 썬팅은 단순한 상품판매가 아니라, 시공을 통하여 완성되는 상품인데 일부 수입업자및 유통업자들이 시공후엔 전문가들도 식별이 어렵다는 점을 악용하여 내용물은 짝퉁제품에, 박스만 교묘하게 위조하여 유통시키는 경우도 다수 있으며, 실제 이러한 업체가 적발되어 법적인 조치를 받은 적도 있는 바, 이러한 짝퉁필름이 근래에는 워낙 교묘하게 위조, 생산되므로 일반 소비자들이 진품인지 짝퉁인지 구별하기는 현실적으로 매우 어려우며 1년도 안 되어 탈색이 되거나 접착제가 변형되어 이지러짐 현상이 생기는 등 문제가 생긴 후에야 알게 되어 고스란히 소비자 피해로 돌아오는 경우가 급격히 증가하고 있는 추세입니다. 그러므로 짝퉁의 피해로부터 벗어나는 가장 확실한 방법은 루마 홈페이지에  등록된 루마 공식 시공점에서 정식제품으로 시공을 받으 시는 것임을 인지하여 주시길 바랍니다."
27,★★★★★,제품/시공관련,루마 정식시공점과 유사시공점(썬팅 멀티샵)은 어떻게 구별할 수 있습니까?,"1. 현재 루마코리아 홈페이지( www.llumar.co.kr )에 등록된 공식시공점이외의 썬팅시공업체들은 모두 유사시공점(멀티샵)으로 판단하셔도 됩니다. 루마필름 제조원인 솔루시아의 국내 유일한 공식공급업체인 루마코리아는 일정수준 이상의 시공기술력과 청결한 매장환경을 보유한 업체에 대하여 철저한 심사를 거쳐 루마 전문시공점(루마 가맹점)의 자격을 부여하고 있습니다. 물론, 루마전문시공점의 역사가 10년에 이르고 초창기에 개설된 일부 업체들이 매장환경이 미흡한 곳도 있습니다만, 현재 내년 3월 이전까지 매장환경 업그레이드를 완료하기 위해 노력하고 있습니다. 2. 루마코리아에 의해서 공식등록된 루마전문점들은 올해 도입된 그린존 마크를 통해 유사업체와 구별하실 수 있습니다. 루마 그린존 마크에는 루마코리아에서 상표등록한 로이드(LLoyd's) 영문글씨가 선명하게 삽입되어 있으며 로이드 상표명 무단사용시 법적인 처벌을 받게 되므로 유사시공업체에서도 사용할 수 없습니다. 루마 그린존 마크는 고객의 권익을 보호하고 유사품이나 짝퉁피해를 방지하기 위해 도입된 루마의 트레이드 마크이므로 반드시 루마 공식시공점 매장 외부 창유리에 부착되어 있는 루마 그린존 마크를 확인하시길 바랍니다."
26,★★★★,제품/시공관련,레이싱카 전용 신제품 시러스80을 시공하고 싶은데 주의를 요구하는 사항은 없나요?,"루마코리아에서 런칭한 레이싱카 전용필름인 시러스 80은 가시광선 투과율 80%(창유리 시공후 실투과율 72%)로써 현행 법규상 전면썬팅 허용치인 70%를 상회하여 법규를 충족시킬 뿐만 아니라, 운전시 시야를 시원하게 해주는 스카이블루 색상과 더불어 완벽한 자외선 차단력(99.9%)과 최대 70%에 이르는 뛰어난 태양열 차단력, 눈부심 감소효과로 여러분께 쾌적한 드라이빙 라이프(Driving Life)를 실현시켜 드릴 것입니다. 시 러스 80은 이미 충남보령의 아주자동차대학에서 매년 주최하는 짐카나 12월 대회에서 실제 시공후 성능테스트를 통하여 카레이서의 최고평가와 찬사를 받은 바 있습니다. 시 러스 80(CIRRUS80)은 뛰어난 복사 태양열 차단능력을 보유하고 있으며, 극강의 IR(열적외선) 차단력으로 인하여 하이패스 기종중 IR타입(적외선 송수신방식) 하이패스 수신시 장애가 발생할 수 있으므로 이 때는 RF타입(주파수 송수신방식)하이패스 사용을 권장합니다. 보다 자세한 내용은 루마 전문시공점과 상의하여 주십시오."
25,★★★★,제품/시공관련,루마필름의 제조원,"About Solutia Inc. Solutia is a market-leading performance materials and specialty chemicals company. The company focuses on providing solutions for a better life through a range of products, including: Saflex? polyvinyl butyral interlayers for glass lamination and for photovoltaic module encapsulation and VISTASOLAR? ethylene vinyl acetate films for photovoltaic module encapsulation; LLumar?, Vista™, EnerLogic?, FormulaOne?, Gila?, VKOOL ?, Hüper Optik?, IQue™, Sun-X? and Nanolux™ aftermarket performance films for automotive and architectural applications; Flexvue™ advanced film component solutions for solar and electronic technologies; and technical specialties products including Crystex? insoluble sulfur, Santoflex? PPD antidegradants, Therminol? heat transfer fluids and Skydrol? aviation hydraulic fluids. Solutia’s businesses are world leaders in each of their market segments. With its headquarters in St. Louis, Missouri, USA, the company operates globally with approximately 3,300 employees in more than 50 worldwide locations. More information is available at www.solutia.com . <솔루시아 릴리즈 기사 내용> 솔루시아는 필름시장을 선도하는 고성능 소재와 화학분야의 우량 전문업체입니다. 솔루시아는 유리박막에 적용하는 세이플렉스(Saflex) 폴리 비닐 부티럴(Poly Vinyl Butyral)중간층과 광전지 모듈 보호캡슐에 적용되는 비스타솔라(VISTASOLAR) 에틸렌 비닐 아세테이트 필름을 포함하는 다양한 제품군을 통해 보다 나은 생활환경을 제공하는데 역점을 두고 있습니다. 솔루시아에서 관리하는 브랜드(상표)는 다음과 같습니다. 자동차 애프터마켓 : LLumar(루마), Vista(비스타), EnerLogic(에너로직), FormulaOne(포뮬라원), Gila(길라), VKOOL브이쿨), IQue(아이크), Sun-X(썬-엑스) 건축용 필름 : Flexvue(플랙스뷰) 솔루시아는 그 외에도 진보된 구성품(솔루션)과 전기적인 기술력을 보유하고 있으며, Crystex(크라이스텍스) 불용성 유황, PPD, Therminol (써미놀) 전열용액, Skydrol(스카이드롤) 항공 경화용액의 상표를 보유하고 있습니다. 솔루시아의 사업은 전 세계 각지의 사업리더들의 사업의 조각을 모은 것과도 같습니다. 솔루시아는 미국 미주리주 세인트루이스에 본사가 있으며, 세계 50개 이상의 지역에서 3,300여명의 직원들이 국제적인 기업운영을 펼치고 있습니다. 보다 상세한 정보는 www.solutia.com 에서 참고하시길 바랍니다. * 현재 솔루시아는 이스트만 그룹에 합병되어 이스트만 그룹에 서 루마필름을 생산, 관리하고 있습니다."
24,★★★★,제품/시공관련,썬팅법규에 부합하면서 차단력이 좋은 제품을 시공하고 싶은데 어떠한 제품으로 시공하면 좋나요?,"현행 도로교통법상 썬팅필름의 가시광선 투과율 허용치는 전면유리의 경우 70%이상, 측면유리의 경우 측면 1열(운전석및 조수석)만 해당하며 40% 이상입니다. 측면유리중 2열과 3열 유리와 후면열선유리는 규제대상에서 제외되어 있습니다. 물론 현행법규를 만족시키면서도 자외선및 열차단이 뛰어난 제품은 루마제품군에 다수 포진되어 있습니다. 우선 질문에 적합한 제품으로 전면유리용으로는 최근 출시된 시리우스80(CIRRUS80 ) 제품을 권장합니다. 맨유리의 가시광선 투과율 (83~90%)에 근접하면서도 99.9%의 완벽한 자외선 차단력과 강력한 단열효과로 이미 국내 굴지의 레이싱대회에서 실제 장착한 후 주행하여 시인성, 태양차단력, 눈부심 감소등 효과면에서 카레이서의 최고의 찬사를 받은 바 있습니다. 시리우스80 은 하이패스 모델중 IR타입(적외선 송수신 방식)제품 장착시 수신에 영향을 줄 정도로 강력한 IR-CUT(열적외선 차단력)을 보유하고 있어 뛰어난 단열효과로 운전시 매우 큰 만족감을 드릴 것입니다. 측후면용으로는 버텍스50(VERTEX50 ) 제품을 권장합니다. 전자현미경 수준의 극강의 시인성과 우수한 차단효과로써 수많은 매니아들 의 호평을 받고 있는 제품입니다. 그 외에도 전면용 시리우스75(CIRRUS75)와 측후면용 아티젠50(ARTISAN50), 라티튜드50(LATITUDE50), 버텍스50(VERTEX50)등의 제품이 있으며, 제품에 대한 상세한 사양은 루마 홈페이지의 제품소개에서 확인하실 수 있습니다. 썬팅법규와 프라이버시 효과를 모두 만족시키는데는 한계가 있으므로 제품 선택시에는 소비자께서 법규및 시공목적 그리고 그에 따른 성능및 내구성등을 충분히 고려하여 선택하시길 바라오며 루마 공식시공점을 방문하셔서 전문가와 상담및 샘플확인을 통해 필름 선택을 하실 것을 권장합니다."
23,★★★★,제품/시공관련,어느 업체에서는 시공기술이 필름의 성능에 많은 영향을 준다고 하는데 사실인지요?,"썬팅의 퀄리티를 결정하는 요소는 90%이상이 필름의 품질, 즉 성능과 그 성능을 보증기간동안 유지시켜주는 내구성입니다. 시공기술을 지나치게 강조하는 업체의 경우 필름의 품질이 떨어지거나 미흡할 때 이를 호도하기 위해서 흔히 시공기술이 퀄리티의 50%이상을 차지한다거나 시공을 잘못하면 썬팅의 품질까지 변질되는 것처럼 왜곡된 정보를 제공하는 경우가 많습니다. 분명한 것은 썬팅필름의 품질이 떨어질 경우 아무리 시공기술이 우수하다고 하더라도 좋은 썬팅이 될 수는 없다는 것입니다. 시공과정이 잘못되어 문제를 일으킬 수 있는 부분은 전면유리 또는 후면열선유리를 한장으로 시공하기 위한 성형과정중 열처리가 제대로 안되어 접착제가 변형을 일으켜 시인성에 영향을 미치는 정도입니다. 나머지는 모두 시공후 외관적인 상태에 관련된 것입니다. 시공과정에서 컨타미네이션(이물질)이 많이 유입된 경우 미관상 불편을 줄 수 있지만, 이로 인하여 필름의 성능이 변질되지는 않습니다. 또한, 마이크로 엣징(측면 창유리 엣지와 필름끝면을 밀착시켜서 마치 색유리처럼 보이게 하는 기법)이나 무커팅 기법(룸미러 뒷편의 도트 매트릭스 부분을 커팅하지 않고 시공하여 외부에서도 모양새가 좋게 하는 기법)을 사용하지 않았다고 하여 썬팅필름의 품질에까지 영향을 끼치는 것은 아닙니다. 이러한 높은 수준의 썬팅기술은 매우 어려우며 마감처리에 시간이 걸리고 작업 결과물이 외관상 매우 보기가 좋은 것은 사실입니다. 그러나 이는 썬팅시공후의 외관에 관한 것이지 성능에는 별다 른 영향이 없다는 것을 인지하시길 바랍니다. 앞서의 설명처럼 썬팅의 퀄리티를 결정하는 90%이상의 요인은 바로 제품, 즉 필름인 것입니다. 그러므로 지나치게 시공기술을 강조하거나 시공과정에서 특수한 약제를 사용한다거나 하는 등의 썬팅필름의 품질 외적인 부분을 강조하는 업체의 경우 시공하고자 하는 필름의 제조원이 믿을만한 곳인지, 취급하는 제품이 저급한 제품은 아닌지 반드시 확인하시길 바랍니다. 일부 브랜드를 포장한 업체의 경우 국산제품과 수입제품을 혼용하여 사용하며 이를 시공기술이라는 명목으로 필름의 품질을 소비자에게 호도하는 경우도 발생하고 있으므로 소비자들의 각별한 주의가 필요합니다."
22,★★★★★,제품/시공관련,소셜 판매업체에서 루마를 시공한다고 하여 시공받았는데 정품이 맞는지요?,"루마의 모든 제품은 단순한 상품판매가 아닌, 루마필름 제조원에서 규정한 기준에 의거하여 정품인증및 사후 a/s처리를 해드리고 있습니다. 루마필름 제조원인 이스트만의 관련 정책은 다음과 같습니다. "" 이스트만은 이스트만에 의하여 공식적으로 인증된 딜러나 시공업체에서 자동차및 건물용 창유리에 제조원이 권장하는 적합한 방법으로 공식인증된 틴터(시공기술자)에 의하여 시공되어질 때 정품인증 및 사후 a/s  처리가 유효합니다. "" 이에 따라서 당사(루마코리아)에 의해서 시공판매 계약을 맺은 루마 공식시공점이 아닌, 타 시공업체에서 시공되어지는 제품에 대해서는 정품인증이나 사후 a/s는 불가합니 다. 루마브랜드의 전제품은 특허청에 상표가 등록되어 있습니다. 루마 공식 인증점이 아닌 시공업체에서 루마 상표를 무단사용할 경우 아래와 같은 법적인 처벌을 받을 수 있습니다. 주) 현행 상표법은 타인의 상표권을 침해한 자에 대하여 7년 이하의 징역이나 1억 원 이하의 벌금을 부과하고(제93조), 상표권 침해행위에 제공되거나 그 침해행위로 인하여 생긴 상 표·포장 또는 상품과 그 침해물 제작에 주로 사용하기 위하여 제공된 제작 용구 또는 재 료를 몰수할 수 있도록 규정하고 있습니다 (제97조의2항). 또한 손해액 추정방법 규정에 따라 침해자는 상품을 판매한, 즉 썬팅시공한 금액에 권리 자의 원가계산에 의한 제품당 이익 액을 곱하여 권리자의 손해액을 추정토록 하고 있습니다 (제67조). 소비자께서는 소셜업체를 비롯하여 인터넷 블로그나 홈페이지 그리고 기타 사이트등을 통하여 판매시공되는 루마정품이 라는 문구에 현혹되어 피해를 입지 않으시도록 주의를 당부드립니다. 아울러, 루마브랜드를 무단사용하는 업체에 대해서 손해배상 청구는 물론 민,형사를 포함한 모든 법적인 책임을 물게 됩니다."
21,★★★★,제품/시공관련,프라이버시 글라스나 자외선 차단유리가 있는 차량의 경우도 썬팅을 해야 하나요?,"유리 종류별 비교 (4mm 기준) Clear Green Solar UV Filter TL(%) 89 81 72 71 TE(%) 83 61 44 44 TUV(%) 56 31 20 8 *자동차 Front Door의 가시광선 투과율은 운전자 시야 확보를 위해 70% 이상으로 규제 TL : %로 표시된 가시광선 투과율 TE : %로 표시된 에너지 투과율 TUV: %로 표시된 자외선 투과율 (위 데이터는 유리제조사 홈페이지의 내용을 발췌한 것임 - 2010년도 자료) 자동차유리 제조원인 한글라스 홈페이지( www.hanglas.co.kr) 에 접속할 경우 위의 데이터를 통해 확인할 수 있듯이 자동차 창유리중 최고사양인 자외선 차단유리(UV Filter) 장착시에도 자외선 차단율은 92%에 머무르고 있습니다. 또한 솔라글라스의 경우에도 자외선 차단율은 80%에 머무를 만큼, 루마필름 시공시의 99% 이상 자외선 차단율과는 현격한 차이를 보이고 있습니다. 즉, 자동차 창유리 자체의 차단력엔 한계가 있기 때문에 완벽한 자외선 차단력을 가진 필름으로 시공해야 완벽한 기능을 발휘하는 것입니다. 승용차의 경우 측면 2열유리, RV차량의 경우 측면 2,3열 유리가 출고당시 프라이버시 글라스로 되어 있는 경우가 있는데, 마찬가 지로 완벽한 차단력을 갖춘 기능성 필름으로 시공해야 피부걱정없이 안심하고 운전하실 수 있습니다. 시선 차단을 하기 위한 프라이버시 글라스라 할지라도 루마 아티젠급 이상으로 시공하실 경우 더욱 확실한 성능을 발휘할 수 있습니다. 루마필름은 다양한 농도의 제품이 구비되어 있어 측면 1열유리가 클리어유리든지, 그린유리든지 컬러매칭이 가능합니 다. 고민하지 마시고 지금 바로 가까운 루마 공식시공점과 상담하십시오~!!"
20,★★★,제품/시공관련,루마필름은 미국 피부암협회에 등록되어 있나요?,"예, 그렇습니다. 루마의 자동차용 필름은 미국 피부암협회에 권장제품으로 등록되어 있습니다. 루마닷컴( www.llumar.com )에 가시면 사이트 하단에 등록된 인증기관의 로고가 나오므로 확인이 가능하십니다. 미국 피부암협회는 99% 이상의 완벽한 자외선 차단력이 입증된 제품에 대해서만 권장제품으로 등록하고 있습니다."
19,★★★★,제품/시공관련,루마필름 시공시 햇빛으로 인한 눈부심은 얼마나 감소하나요?,루마필름중 아티젠 이상의 상위제품의 경우 눈부심 감소율은 최대 90%에 이릅니다. 마치 야외에서 썬글라스를 착용한 듯한 유용 한 효과는 따라서 고객님의 안전운전과 쾌적운전에 매우 큰 도움을 드릴 것 입니다.
18,★★,제품/시공관련,썬팅필름을 시공하면 유리를 통한 소음 감소에 도움이 되나요? 소음방지 필름이 있나요?,"Does the installation of window film help to reduce the transmission of sound (noise) through glass? Are there any films that have ""sound deadening"" properties? Answer: The long and short answer is: No. For good or ill, surface-mounted window films in general appear to have little measurable effect on the transmission of sound through glass. Given the physics of glass and surface-mounted thin films, window films simply do not have the mass needed to absorb significant amounts of sound energy striking a window. 아니오. 없습니다. 유리표면에 부착된 윈도우필름이 유리를 통해 들어오는 소음에 미세하게 영향을 줄 순 있습니다. 그러나, 유리표면에 부착된 박막(얇은)필름이 유리 고유의 물성에 반하여 창유리를 두드릴 정도의 소리 에너지의 양을 흡수할 정도의 질량이 없기 때문에 썬팅시공만으로 소음을 줄이거나 방지할 수 없습니다."
17,★★★★,제품/시공관련,루마필름의 SPF(Sun Protection Factor:태양차단지수),"화장품 매장에서 썬크림이나 기능성 화장품을 구입할 때 겉케이스에 표기된 SPF지수를 본 경험이 누구나 있을 것입니다. SPF(Sun Protection Factor : 태양 차단지수)는 태양으로부터 피부를 보호해 주는 정도를 표시한 수치로써 숫자가 클수록 보호효과는 증가하게 됩니다. 자외선 차단제품을 바르고 자외선을 쬐였을 때 붉은 반점이 생기는데 필요한 자외선의 최소량을 통상적으로 맨살이 자외선에 노출되었을 때 피부에 붉은 반점이 생기는데 필요한 자외선의 최소량으로 나눈 값입니다. 대개 맨살로 자외선을 쬐였을 때 홍반(붉은 반점)이 생기는 시간은 15~20분. SPF는 이 시간을 지연하는 정도를 나타냅니다. 예를 들면 SPF20은 300~400분(15 또는 20 X 20) 동안 피부가 빨갛게 되는 것을 방지해 준다는 것입니다. 그럼 루마필름의 SPF는 어떨까요? 루마필름을 피부에 바르는 썬크림과 비교했을 경우의 SPF 수치는 매우 큽니다. 루마제품중 루마 아티젠이상의 제품들 (루마 아티젠, 루마 라티튜드, 루마 시리우스, 루마 버텍스)은 1% 미만의 자외선 허용치를 나타냅니다. 즉, 자외선 차단율이 99%이상인데, 이 경우 SPF는 100 혹은 그 이상이 됩니다. SPF100은 썬크림과 비교할 경우 2,000분(100 X 20분)동안 외부 태양자외선에 노출시 피부를 보호해 준다는 것입니다. 만일 2%의 자외선 허용치(98% 자외선 차단율)를 가진 필름이라면 SPF는 50입니다. 보통 썬크림이나 자외선 차단제가 함유된 기능성 화장품의 최대 SPF 수치가 50을 넘지 않는다는 점을 볼 때 자외선 차단력이 완벽한 루마필름으로 시공을 하게 되면 얼마나 완벽하게 자외선으로부터 보호를 받을 수 있는 지 알 수 있는 대목입니다. 루마필름은 SPF 100이상의 자외선 차단지수를 가진 자동차 유리에 바르는 썬크림과 같으며, 루마필름의 SPF는 유해 자외선인 자외선A와 자외선B의 범위를 모두 방어하는 완벽한 능력을 가지고 있습니다. 자외선A는 310~400 나노미터의 파장대이며, 피부노화는 물론 기미, 주근깨등 피부트러블의 주범입니다. 자외선A는 흐린 날에도 그 복사량이 줄지 않으며, 얇은 커튼을 통과할 정도로 침투력이 좋아 장기적으로 볼 때 자외선B보다 피부에 더 큰 피해를 끼칩니다. 또한 자외선A는 자동차 창유리도 쉽게 통과하므로 창문만 올린다고 해서 안전한 것은 아니라고 전문가들은 설명합니다. 자외선B는 280~315 나노미터의 파장대이며, 일정시간을 초과하여 노출될 경우 피부의 면역학적인 기능을 떨어뜨려 세균침투및 피부암의 원인이 됩니다. 자외선B는 유리창을 통과하지 못하며 체내에서 생성하지 못하는 비타민D의 합성에 관여하여 골격을 튼튼하게 해 주는 장점이 있습니다. 자외선B는 유리창을 통과하지 못하므로 실내에 있으면 안전합니다."
16,★★★★★,제품/시공관련,필름의 내구성이 왜 중요한가요? (한 차원 다른 루마필름의 600시간 제논내구성테스트),"필름의 성능특성치는 자외선 차단율을 비롯하여 TSER(총 태양에너지 차단율), 스크래치 방지강도, 인장강도등 여러가지가 있지만, 자외선 차단율만큼 중요한 것은 이러한 성능의 초기값이 보증기간동안 오래 유지되는 필름의 내구성입니다. 루마필름은 다른 제품에 비해 이러한 초기성능을 유지하는 내구성면에서 뛰어나며, 이러한 내구성을 테스트하여 모든 제품에 적용함으로써 오랫동안 전 세계 소비자들의 신뢰를 구축한 필름회사는 극소수에 불과합니다. 루마필름의 내구성의 비밀은 바로 600시간 제논(Xenon)테스트에 있습니다. 600시간 제논테스트란 실험실에서 필름에 600시간동안 제논 광선을 조사하여 필름의 탈색여부로써 필름의 내구성을 체크하는 실험입니다. 이는 미국 아리조나 사막기후에서 3.5개월동안 태양광을 조사한 것과 동일한 기간이며, 이러한 제논 테스트는 루마의 모든 제품에 적용함으로써 루마필름은 초기성능뿐만 아니라, 이러한 초기성능을 보증기간동안 오래 유지시켜주는 내구성으로 인하여 오랜 기간동안 미국, 호주, 브라질, 러시아등 주요 썬팅필름 소비국은 물론 전 세계 소비자들로부터 신뢰와 사랑을 받아 온 것입니다. 일부 저가형 제품들은 제논 테스트를 하게 되면 보라색으로 심하게 탈/변색을 일으킵니다. 일부 국산업체등이 높은 열차단력을 앞세워 라디오 광고를 하며 요란하게 자사필름을 시장에 출시했지만, 탈색및 열차단수치의 급격한 저하등 내구성 문제가 발생하여 1년이 채 못가 모든 썬팅매장에서 자사제품이 사라지는 수모를 당한 경우도 있는만큼, 소비자들께서는 제품 선택에 있어서 필름의 내구성 또한 꼼꼼히 점검하실 필요가 있을 것입니다."
15,★★★★★,제품/시공관련,루마 신제품 버텍스(Vertex) 무엇이 다를까요?,"지난 1960년대말 미항공우주국 나사(NASA)의 우주선 개발과정으로부터 탄생한 루마 버텍스는 최상의 시인성(선명도)와 동급 최강의 열차단력을 겸비한 썬팅필름의 마스터피스(Masterpiece)입니다. 버텍스는 정밀 현미경 수준의 헤이즈(선명도 단위)를 구현하며 시각적으로 편안한 네오차콜 컬러로 눈부심을 현저히 줄이는 탁월한 시야 개선효과로 운전시 안락한 휴식공간에 있는 듯한 편안함을 제공해 드립니 다. 시중의 다른 제품들이 초기 열차단력을 강화시키는 과정에서 필름구조를 과다한 다층구조로 가거나 열차단물질을 과도하게 분사하다보니 썬팅필름의 중요한 요소인 시인성(차량 내부에서 밖을 볼때의 선명도)이 떨어지는데 반해, 루마 버텍스는 70% 상당의 TSER(태양에너지 차단 력)을 갖추고 있으면서도 다른 썬팅필름을 압도하는 뛰어난 선명도를 구현합니다. 또한 열차단력을 강조하는 저급제품들은 초기 열차단력이 오래 가지 못하는 분사방식(필름면에 용액을 뿌리는 방식)인데 비해 루마 버텍스를 비롯한 라티튜드, 씨러스, 아티젠등 루마의 제품들은 정확한 합지방식(자외선 차단막등 6~7겹의 다층구조가 각각의 독립적인 기능을 하면서 내구성을 높이는 방식)으로 초기성능이 보증기간동안 보존됨으로써 전 세계 소비자들로부터 신뢰와 사랑을 받고 있는 것입니다. 현재 썬팅시장에는 루마필름의 인기에 편승하여 짝퉁필름을 위시한 병행품이 범람하고 있는 바, 루마 버텍스는 루마필름의 제조원인 미국 씨피필름즈사에서 국내 로펌 1위인 김앤장 법률회사를 통하여   대한민국 특허청에 정식으로 상표등록한 상품명이므로 이제 더이상 소비자들께서는 병행필름으로 인한 피해를 두려워하실 필요가 없습니다. 남성들이 필드에 골프라운딩할 때 자외선을 피하기 위해 썬크림을 바르듯이, 여성들이 외출시에 피부보호를 위해 화장을 하듯이, 이젠 루마 버텍스 하나면 귀하의 차안 피부걱정은 눈녹듯이 사라집니다. 왜 썬팅을 하느냐고 물으신다면~??? 정답은 하나, 자외선과 태양열로부터 당신을 보호하기 위해 루마 버텍스 ! 정답은 하나, 뛰어난 선명도와 눈부심 감소효과로 안전운전을 보장받기 위해 루마 버텍스 !! 정답은 하나, 당신의 프라이드를 한 차원 높이기 위해 루마 버텍스 !!!"
