No,제목,작성일,조회,본문
396,[소식] 루마프리미엄 썬팅필름 '버텍스' 전용 마이크로 사이트 오픈,2018.01.13,7705,"새해복많이 받으세요! 버텍스 전용 마이크로 사이트가 오픈되었습니다. 버텍스는 루마의 프리미엄 제품으로서 그 위상에 걸맞게 독립적 홈페이지가 제작된 것입니다. 버텍스 마이크로사이트는 다양한 디바이스의 해상도에 맞는 반응형 홈페이지로 어떤 사이즈에서도 최적화되며, PC와 모바일을 동시에 사용할 수 있도록 제작되었습니다. 버텍스 전용페이지는 별도의 홈페이지 주소( vertex.llumar.co.kr )를 통해서도 들어갈 수 있으며, 루마메인 홈페이지를 통해서도 호환되도록 하였습니다. 다양한 콘텐츠로 고객만족을 위해 더욱 힘쓰겠습니다. 감사합니다."
NOTICE,[공지] 루마버텍스는 미국 제조원의 정식제품입니다,2022.10.31,12986,"썬팅업계와 일부 커뮤니티 에서 루마 버텍스 제품은 한국과 중국에서 제조된 제품이고 한국에서 별도로 만든 제품이라는 잘못된 정보를 전달하고 있어서 바로잡으려고 공지합니다 . 루마 버텍스는 미국 제조원에서 직접 생산하는 루마 브랜드의 프리미엄 윈도 틴팅 필름입니다. 버텍스(VERTEX)는 미국 제조원에서 한국특허청(등록번호 4500446820000) 에 등록한 정식 상표입니다 . 일부에서 나도는 루마 버텍스 제품에 대한 가짜 정보와 달리, 루마 버텍스는 미국 버지니아에 있는 제조공장에서 완제품을 생산한 오리지널 제품을 국내에 들어오고 있으며 , 제조원으로부터 엄격히 관리됩니다. 국내에는 썬팅브랜드가 100여개나 된다고 합니다. 이중에서 대부분이 제조원이 아닌 편집, 하우스 브랜드입니다. 즉, 기성제품을 편집, 다시 브랜드화한 브랜드라는 의미입니다. 하우스 브랜드의 특징은 제품의 출처를 밝히지 않을 뿐만아니라 국내 제품임에도 독일, 유럽, 미국 제조라는 애매한 문구를 집어넣어 원산지를 알 수 없게 만듭니다. 특히, 외국 브랜드라 하더라도 라이센스 피만 주고 국내제품을 도입한 사례도 있고, 국내 제품을 사용하면서 미국제품처럼 원산지를 호도하는 브랜드도 있습니다. 그런 점에서 볼 때 루마 브랜드는 오리지널 미국 제조원 제품을 그대로 들여와서 국내 고객들에게 공급하고 있기 때문에 원산지 및 출처가 확실한 제조원 제품으로 가장 신뢰할 수 있는 브랜드로 자리매김하고 있습니다. 루마브랜드는 1993년부터 근 30여년 동안 국내 영업을 지속하면서 많은 고객으로부터 사랑을 받고 있으며, 썬팅시장을 선도하며 한국 썬팅시장의 역사로 자리매김하고 있습니다. 루마썬팅은 앞으로도 신뢰받는 품질과 서비스 제공을 위해 더욱 노력하겠습니다. 대한민국특허청 상표등록원부 국내입고"
NOTICE,[공지]루마 코리아 정식유통 제품의 시공 및 불법 유통제품 주의에 대한 안내문,2022.03.18,15785,"루마 공식 인증점 및 루마 고객님들께 안내 말씀을드립니다 . 최근에 루마 공식 인증점이 아닌 시공업체에서 루마 코리아를 통해 정식으로 유통되지 않은 불법 유통 제품으로 시공이 이루어진 후, 그 업체에서 본사 보증 포맷과 유사한 형태로  자체 품질보증서를 발행해주는 사례가 포착되고 있습니다 . 이로 인해 루마 코리아의 정식 보증서비스를 제공받지 못하거나 , A/S 거부, 업체 폐업 등으로 인한 고객 피해가 발생하고 있습니다 . 아울러 루마 코리아 홈페이지내 보증조회 가 되지 않는 비공식적인 품질보증서에 대해서는 보증을 하지 않음을 안내해 드립니다 . 모든 루마 버텍스 필름은 루마 코리아의 인증업체를 통해서만 고객분들께 시공되며 , 루마 코리아 인증 공식업체 리스트 는 루마 코리아의 홈페이지를 통해 고객님들께 안내해 드리고 있습니다 . 루마 코리아 공식 인증점에서 시공 받으시는 루마버텍스 제품은 시공 후 루마 코리아 본사 홈페이지를 통해 품질보증서 ( 디지털 보증 ) 를 발행하여 고객에게 제공하며 , 루마 코리아 홈페이지의 보증조회 서비스를 통해 확인이 가능합니다 . 따라서 루마 버텍스 제품에 대한 정식 품질보증서를 받으셨더라도 루마코리아 홈페이지 및 본사 통합 전산자료를 통해 조회가 불가한 품질보증서에 대해서는 어떠한 보증 서비스도 제공하지 않습니다 . 루마 코리아는 어떠한 경우에도 불법 유통을 용납하지 않으며, 오로지 정품 필름만을 취급 / 유통하고 정식 품질보증서 발급을 통해 공식 인증점 및 소비자의 권익을 지키는데 앞장서고 있습니다 . 루마 코리아는 앞으로도 공식 인증점과 루마를 사랑하는 소비자의 권익을 지켜 나가기 위해 불법 유통 시공 및 비정상적인 품질보증서 발행에 대해 보다 철저한 관리와 감독을 실행할 예정이며 , 불법으로 유통되고 있는 제품에 대한 다양한 법적 제재를 강구할 방침입니다 . 루마 품질보증서 조회 바로가기 http://www.llumar.co.kr/sub_support/original.php 루마 공식 인증업체 확인 바로가기 http://www.llumar.co.kr/sub_branch/automotive_list.php 루마 코리아 고객지원팀 배상"
395,[소식] 루마 모바일 홈페이지 오픈,2018.01.11,7153,"안녕하세요, 새로운 소식을 알려드립니다 새해들어서 루마 홈페이지가 또 한번 진화합니다. 홈페이지 PC버전 리뉴얼에 이어 이번에는 모바일 버전이 가동되었습니다. 모바일버전 홈페이지 주소는 http://m.llumar.co.kr/ 입니다. 모바일버전은 다양한 디바이스의 해상도에 맞는 반응형 홈페이지로 어떤 사이즈에서도 최적화됩니다. 감사합니다."
394,[소식] 루마코리아 신년회 개최,2018.01.05,8431,"루마코리아 신년회 소식 원문보러가기 http://naver.me/xtVc6Qfe 루마썬팅 무술년 신년회 “ 지행합일(知行合一)로 고객만족 실천할 터 ” 루마썬팅은 지난 4 일 경북문경에 위치한 미오림복지재단에서 대표이사를 비롯한 임직원들과 전국 9 개 루마총판이 참석한 가운데 ‘2018 년 무술년 신년회 ’ 를 개최했습니다 . 이날 신년회에서는 전국 9 개 루마총판이 마련한 ‘ 사랑의 기금 ’ 전달식과 함께 ‘ 미오림복지재단의 시설견학 시간을 가졌습니다 . 루마 코리아는 큰 기업도 하기 힘든 복지재단을 운영하면서 나눔을 실천하고 있으며, 기업 이윤을 통해 사회를 이롭게 만들어야 할 의무와 책임을 다하기 위해 노력하고 있습니다. 또한 전국의 루마썬팅 가족들도 적극적인 후원으로 동참을 하고 있습니다 . 루마썬팅을 하는 고객은 나눔이 되는 착한썬팅을 하는 것이 되고 , 루마썬팅을 하면 세상이 따뜻해지는것을 경험하게 될 것입니다 . 사회복지 법인 ""미오림 복지재단"" 친구마을의 '세탁 나라"" 루마썬팅은 미오림복지재단과 함께 합니다. 루마썬팅은 미오림복지재단을 통해 본사의 기업 이윤을 나누어 초고령 사회에 진입하는 노인 인구를 위한 편안하고 안락한 노인요양시설과 사회적응이 어려운 장애인을 위한 사회복지사업을 하고 있다 . 노인과 장애인을 위하여 복지시설을 만든 것이지만 , 부모와 가족은 물론 복지사업 종사자들까지 수혜를 준다는 점에서 모든 이해 관계자들을 고려한 사회공헌 사업의 고민의 산물로써 , 나눔을 강조하는 ' 자본주의 4.0' 에 이어 자본주의 5.0( 기업이 더욱 적극적으로 사회문제에 참여하고 해결하는 ) 을 향해가는 사회적 기업으로 거듭나고 있다 . 미오림복지재단은 경북 문경에 위치하고 있으며 루마코리아 김우화 대표가 개인의 사재를 모두 털어 2003 년 9 월 설립한 사회복지법인이다 ."
393,[소식] 미오림복지재단 2017 ‘KPGA 시니어지회 사랑의 기금 및 백미 전달식’ 소식,2017.12.20,6838,"12월 19일 ""(사)한국프로골프협회 사랑의 기금 및 백미 전달식"" 이 미오림 복지재단에서 열렸다. 미오림 복지재단 이순례 상임이사 의 환영사 (주)씨피에프 루마 코리아 김승양 전무의 격려사 미오림 홍보대사로 임명된 (주)쏠트파트너즈 박천택 대표 ‘KPGA 시니어지회 사랑의 기금 및 백미 전달식 ’이 12월 19일 오후 2시에 사회복지법인 ""미오림복지 재단"" 다목적 홀에서 열렸다. 이 날 행사는 이순례상임이사와 루마썬팅 김승양전무, KPGA 이강선회장 , 복지재단시설 원장 들과 재단이사 등 관계자들이 참여한 가운데 진행되었다. 전달식에서는 후원금 5,180,160 원과 백미 80 포가 전달되었고, (주)쏠트 파트너즈의 박천택 대표가 미오림 홍보대사로 공식 임명되었다. 루마필름은 미오림복지재단을 통해 본사의 기업 이윤을 나누어 초고령 사회에 진입하는 노인 인구를 위한 편안하고 안락한 노인요양시설과 사회적응이 어려운 장애인을 위한 사회복지사업을 하고 있다. 노인과 장애인을 위하여 복지시설을 만든 것이지만, 부모와 가족은 물론 복지사업종사자들까지 수혜를 준다는 점에서 모든 이해 관계자들을 고려한 사회공헌 사업의 고민의 산물로, 나눔을 강조하는 '자본주의 4.0' 에 이어 자본주의 5.0 (기업이 더욱 적극적으로 사회문제에 참여하고 해결하는)을 향해가는 사회적 기업으로 거듭나고 있다."
392,"[소식] 부산,울산,경남 루마썬팅 송년 월례회(12월 11일)",2017.12.12,7625,"12월 11일 ""부산, 울산, 경남 루마썬팅 송년 월례회""가 부산 해운대에 위치한 노보텔 엠배서더 호텔 대강당에서 열렸습니다. 2017년을 마무리하고 다가오는 2018년의 선전을 위해 부울경 루마 인증점 대표님들이 모두 모여 단합과 친목을 도모했습니다. 이 날 송년월례회에서는 2017년 한해동안 수고한 각 지부장들과 임원에 대한 ""공로패"" 와 ""감사패""전달식이 있었고, 경품 추첨 등 뜻깊은 시간을 보냈습니다. 부산 , 울산 , 경남 루마 협의회 회장조해식 부산 총판 대표 부산, 울산, 경남 지역 루마 인증점 대표들이 참석하여 화목과 친목을 다졌다. 이 날 감사패 수상은 부산지부 총무 사직점 제갑진 대표, 김해지부 총무 장유점 박경진 대표, 서부경남지부 총무 함양점 김대원 대표, 울산지부 총무 진장점 이원희 대표, 창원지부 총무 양덕점 최원태 대표 등 5명이 수상하였고, 공로패는 루마협의회 운영총무 부산남구1호점 문준삼 대표, 루마협의회 관리총무 부산사상 모라점 김재영 대표가 수상하였습니다."
391,"[소식] 강호동 대표( 라라 브레드 CEO) "" 내가 꿈을 이루면 나는 누군가의 꿈이 된다!"" 강연 소식",2017.12.08,8603,"12월 8일(금) 루마 코리아 본사에서 루마 코리아 김우화 대표와 임직원, 서울 경기 수도권 총판이 참석한 가운데 라라 브레드 강호동 대표의 "" 내가 꿈을 이루면 나는 누군가의 꿈이 된다!"" 라는 제목으로 강의가 있었습니다. 어려운 역경에서 빛나는 꿈을 이룬 ""강호동 대표"" 의  인생과 철학 등 유익하고 값진 정보와 감동을 전달하였습니다."
390,[소식] 미국 이스트만 퍼포먼스필름 사업부 CEO 루마코리아 방문,2017.12.01,7644,"지난 11 월 30 일 미국 이스트만 퍼포먼스필름 사업부 CEO를 비롯한 임원진이 루마코리아를 방문했습니다. 루마코리아 김우화 대표와 임직원이 참석한 가운데 2018 년도 사업계획에 관해 심도있게 논의했습니다 . 루마코리아는 2018루마혁신이라는 슬로건을 바탕으로 지금보다 더 업그레이드된 제품과 서비스로 고객만족을 실천하고, 국내 자동 차 썬팅 시장 성장에도 이바지하기 위해 노력하겠습니다 ."
389,[소식] 루마썬팅의 메세나 활동 - 베르디의 명작 오페라 아이다 후원,2017.11.28,6773,"미오림 복지재단과 함께 하는 사회적기업 루마썬팅이 문화사업후원의 일환인 메세나활동으로 베르디의 명작 오페라 아이다를 후원한다. 베르디의 오페라 아이다는 조국의 안녕과 사랑이 공존할 수 없는 처절한 아픔과 사랑과 권력을 향한 야심 , 군벌과 종교의 갈등까지 뛰어난 음악 , 치밀한 드라마 , 극적인 메시지 , 위대한 결론으로 화려한 무대 속에 숨겨진 오페라의 진정한 가치를 몸소 느끼게 해주는 작품이다. 밀레니엄 심포니 오케스트라가 주최하고 밀레니엄 심포니 오케스트라 , 쿠컴퍼니가 제작하는 오페라 ' 아이다' 는 서울 세종 문화회관에서 12 월 1 일부터 3 일까지 공연이 펼쳐진다. 세종문화회관에서 펼쳐지게 될 오페라 아이다 공연은 순수 국내 제작진과 국내 출연진으로 구성되었으며, 웅장한 합창 , 화려한 무용 , 최첨단 영상과 현대적 감각으로 재현된 이집트를 배경으로 이탈리아 정통 오페라의 진수를 선 사할 예정이다 . 한국인 최초 이탈리아 살레르노 베르디 극장 연출가로 제 1 회 대한민국 오페라 페스티벌 ' 아이다 '를 연출한 이의주 가 연출을 맡았으며, 밀레니엄심포니오케스트라의 상임지휘자인 서희태 예술감독이 지휘하며, 소프라노 임세경 , 테너 이정원 , 메조소프라노 이아경 , 베이스 전승현 , 베이스 김요한 등 정상급 성악가가 함께 호흡을 맞춘다 . 한편 MBC 미니시리즈 예술감독 , tvN ‘ 오페라스타 ’ 심사위원인 서희태 예술감독은 루마썬팅과 깊은 인 연을 맺고 있다. 루마선팅의 프리미엄 클래스인 루마 버텍스 의 광고모델로 활동하였기 때문이다. 루마썬팅은 베토벤 바 이러스 강마에의 실제모델인 유명 지휘자 서희태를 선정하고 루마버텍 스 필름의 새로운 캠페인을 선보인바 있다."
388,[보도자료]루마 썬팅 상표권 무단 사용 업자 엄벌... 법정구속,2017.10.20,7800,"루마썬팅의 브랜드 인지도에 편승하여 불법으로 루마 브랜드 상표를 사용한 썬팅필름 유통업자에게 법원(인천지방법원)이 징역 10 개월의 실형을 선고하고 법정구속을 했습니다. 수년간 지속되어온 수사결과 유통업자 황모씨는 상표권자인 미국 제조원의 허락 없이 ' 루마 ' 로고를 찍고 루마필름 박스와 라벨을 만들어 불법유통한 혐의로 재판에 넘겨졌습니다. 루마로고는 상표권자로부터 허가를 받은 업체만 사용이 가능하며 허가없이 필름에 로고를 찍는 행위 자체가 불법이며, 더우기 가짜 박스와 라벨을 만들어 정식제품처럼 포장한 행위에 대해서도 엄벌이 내려진 것입니다. YTN 보도자료 원문보러가기 http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001072082 http://m.ytn.co.kr/news_view.php?key=201710201856323117&s_mcd=0103"
387,[소식] 루마 광고 리뉴얼 TV-CF 방영 안내,2017.10.09,8269,"10 월 1 일부터 새로 리뉴얼 된 TV-CF가 YTN 을 통해 하루 800 회씩 방송 되고 있습니다. “ 거봐 ~ 루마썬팅하길 잘했지 !” 라는 카피와 함께 , 루마의 캐릭터인 로이군과 로즈양이 루마썬팅 필름을 홍보합니다 . 신광고에는 루마 인증점의 신제품 비잔티를 소개하고 있습니다 . 비잔티는 전면용과 측후면용으로 구분되는데, 앞유리 썬팅은 비메탈구조의 전파수신 간섭이 없는 고기능 고선명 제품이고, 측후면유리 썬팅은 강력한 열차단 성능을 구현하는 메탈합금 다층레이어 특수썬팅필름입니다. 루마썬팅의 프리미엄 제품군인 버텍스 시리즈는 버텍스 인증점에서 시공이 가능하며, 루마 시즌 1, 시즌2 제품은 루마 인증점에서 시공이 가능합니다. 세계판매1위의 품질 루마 썬팅에서 준비한 최상의 제품과 서비스를 기대해주세요 ~"
386,고객 문의 및 상담 안내,2017.09.27,7988,"루마 홈페이지에서는 24시간 고객님들의 의견을 접수하고 빠른 시간 안에 해결하고자 많은 노력 을 하고 있습니다. 그 럼에도 불구하고 이용 방법을 잘 못하여 불편함을 겪고 계시어  몇가지 운영 경로를 알려 드립니다. 하나,  홈페이지에 회원 가입을 하시고 루마 인증점에서 시공 후 받으신 보증서 번호를 등록해 주 십시요. 이는 전자보증서에 기재되어있는 제품을 보증기간 동안 케어 받으실 수 있는 귀중한 자 료가 됩니다. 둘, 제품 확인 및 AS 문의는 홈페이지 - 로그인- 고객센터 - 루마 AS 지원센터 검색 으로 조회하시어 연락하시면 됩니다. 셋 , 그 밖의 궁금하신 사항은 홈페이지 - 로그인- 고객센터 - FAQ - 1:1 문의 로 남겨 주십시요 메일이나 다른 경로의 문의는 접수가 안되오니 이점 양해 부탁 드립니다. 또한 광고, 협업, 제휴 문의는 홈페이지 하단에 ""광고및 제휴문의""에 올려 주시면 담당자 확인 후 연락 드리겠습니다."
385,모바일 시공권 서비스 종료 안내,2017.08.31,7645,"루마 썬팅은 업계 최초로 ""모바일 시공권"" 서비스를 시작하였습니다. 썬팅 시공 시장의 확장성을 위해 시작한 모바일 시공권은 4 ~5년 동안 서비스를 하면서 국내 시장에서 현실적으로 자리잡기에는 여러가지 문제들이 있었습니다. 그동안 많은 노력에도 불구하고 개선되지 않아 부득이 인터넷 쇼핑몰과 판매 사이트의 모든 루마 제품의 모바일시공권을 2017년 9월1일부로 판매 중지하고 시공 서비스를 종료함을 알려드립니다. 무더운 여름이 끝나고 가을의 문턱에 다다른 2017년 하반기에도 더욱 승승장구하시길 바랍니다.  감사합니다. (기존에 구입하신 분들은 판매처에서 환불 조치 받으십시요)"
384,"루마 버텍스 시리즈 ""매일 경제"" 신문 기사",2017.08.14,8126,2017-08-14일자 매일 경제 신문 기사 내용입니다. 버텍스 시리즈에 관한 김우화 대표님의 인터뷰 내용입니다. 루마썬팅 프리미엄브랜드 출범 http://me2.do/FbeMafZ0
383,"루마버텍스 살펴보기 - 인증점, 제품, 메탈스티커, 썬팅등급",2017.08.04,15269,"루마프리미엄 썬팅필름 루마 버텍스 시리즈 살펴보기 루마버텍스의 독자적인 로고 루마버텍스 자동차썬팅 후 썬팅필름에 표시될 루마버텍스 로고 버텍스 900 버텍스 700 버텍스 650, 버텍스 600 버텍스 500 버텍스필름의 차별화된 로고QR 버텍스 필름의 차별화된 박스 패키지 버텍스로고가 새겨진 프로텍션 시트커버 루마버텍스의 고급진 메탈스티커 루마버텍스 인증점이 비치된 특대형 브로마이드 썬팅가격, 썬팅필름 등급 비교, 루마버텍스 제품소개 루마버텍스 공인 인증점 현판"
382,"루마버텍스 TV-CF [루마썬팅, 편안한 드라이빙의 완성] 편-사랑의 콘서트 김정택 단장 선정",2017.08.01,8565,"프리미엄 썬팅필름 루마버텍스 광고모델에 사랑의 콘서트 김정택 단장 선정 SBS '김정택의 아낌없는 음악회’와 ‘사랑의 콘서트’로 무료 봉사활동을 하는 김정택 단장이 루마버텍스 광고모델로 선정됐다. 루마코리아는 31일 명지휘자 서희태에 이어 SBS 김정택 단장을 광고모델로 선정하고 프리미엄 썬팅필름인 루마버텍스 캠페인을 선보인다고 밝혔다. 이번 CF 속에서 김정택 단장은 피아노 건반과 연주자가 만나 아름다운 선율을 만들어가듯, 자동차가 루마버텍스를 만나 편안한 드라이빙을 완성한다는 광고 컨셉을 완벽하게 소화해냈다. 루마코리아 관계자는 “미오림 복지재단을 통해 사회적 기업을 추구하는 루마썬팅의 이미지와 평소 재능기부로 봉사활동을 하는 김정택 단장의 이미지가 부합되어, 나눔을 실천하는 김정택단장을 광고모델로 선정했다”며 “선명도가 좋고 편안한 루마선팅을 하면 나눔이 되어 세상이 따뜻해 질 수 있다”며 루마썬팅을 통한 착한 소비를 당부했다. 루마코리아는 가장 선명하고 가장 안전하고 가장 편안한 프리미엄 루마버텍스 시리즈를 선보이고 있다. 세계최초 나노융합신기술이 적용된 루마버텍스 시리즈는 900, 700, 650, 600, 500 등 5가지 제품이 있으며, 고객의 카 라이프 스타일, 환경, 니즈에 따라 선택이 가능하다. 루마버텍스 필름은 루마인증점을 통해서 틴팅 시공 서비스가 제공된다. 기사원문보기: 네이버뉴스 http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=311&aid=0000759768"
381,"루마버텍스 TV-CF [루마썬팅, 드라이빙을 지휘하다] 편-베토벤 바이러스 서희태로 선정",2017.07.27,7924,"베토벤 바이러스 실제모델 서희태, 프리미엄 썬팅 `루마 버텍스` 광고모델로 선정 베토벤 바이러스 실제모델 서희태 , 프리미엄 썬팅 ` 루마 버텍스 ` 광고모델로 선정 지휘자 서희태가 프리미엄 자동차 썬팅필름인 루마 버텍스의 광고모델로 선정됐다 . 루마코리아는 26 일 루마 프리미엄 썬팅필름 버텍스 시리즈의 광고모델로 베토벤 바이러스 강마에 실제모델인 유명 지휘자 서희태를 선정하고 새로운 캠페인을 선보인다고 밝혔다 . 이번 광고는 "" 루마 썬팅 , 드라이빙을 지휘하다 "" 라는 콘셉트로 개편되었다 . 서희태는 특유의 카리스마 넘치는 지휘로 최적화된 드라이빙을 제공하는 루마 버텍스의 시인성 , 안전성 , 차단성능의 우수성을 알린다 . 루마 프리미엄 선팅필름 버텍스 시리즈 출시로 많은 운전자가 열 차단과 자외선차단을 통해 뜨거운 여름에도 쾌적하고 편안한 운전환경을 제공 받을 수 있게 된다 . 신기술 나노융합 테크놀로지가 적용되어 뛰어난 성능과 함께 탁월한 시인성을 자랑하는 제품이다 . 버텍스 900, 700, 650, 600, 500 등 5 가지 모델 중에서 고객의 카 라이프스타일 , 주행 환경 , 고객의 선호도에 따라 선택이 가능하며 루마 버텍스 인증점을 통해서 시공 서비스가 진행될 예정이다 . 업체 측은 "" 지휘자가 모든 악기와 연주자를 조율하여 멋진 하모니를 완성하듯 루마 버텍스는 어떤 차종이든 관계없이 차량 유리에 일체감을 부여하는 제품이다 . 최적의 드라이빙 환경을 만들어주는 데에 기여한다 "" 라며 ""고객들이 더욱 좋은 품질의 루마버텍스 썬팅을 경험할 수 있기를 바란다 "" 고 전했다 . 보도자료 원문 네이버 뉴스 http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=029&aid=0002414602"
380,루마 코리아 이전 안내,2017.07.21,7032,루마썬팅 이전 안내 본사 주소 우 : 12991 도로명 : 경기도 하남시 서하남로 21   4층 루마 코리아 지번 주소 : 경기도 하남시 감북동 451-13번지  4층 루마 코리아 T : 02-2213-1543           F : 02-2213-1546
379,"[소식] 프리미엄 ""버텍스 인증점"" 교육 성료 안내",2017.06.26,7456,"루마 버텍스점 인증패 수여식 6 월 17 ~ 23 일 서울 골든 씨티 호텔에서 “ 버텍스점 인증패 수여식 ” 이 있었다 . 이 행사에는 버텍스점의 마지막 관문을 통과한 60 여명의 루마인증점 대표들이 참석 했다 . 인증패를 받은 버텍스점은 루마 코리아에서 이미 오래전부터 기획한 최상위 프리미엄 브랜드 “ 버텍스 ” 시리즈를 취급할 수 있는 곳으로서 루마코리아의 엄격한 심사를 거쳐 선별된 곳이다. 이 날 교육에서 루마 코리아 김승양 전무이사는 “ 급변하는 소비자의 니즈와 시장을 선도하기 위해 오랜 기간동안 시장 조사와 마케팅 , 제품 개발에 매진하였다 . 루마 버텍스 시리즈는 국내 최고의 품질과 기능을 갖춘 제품이다 ” 라고 설명하였다 . “ 나는 어떻게 1 등 브랜드를 만들었는가 ” 의 저자이기도 한 루마 코리아 김우화 대표이사는 “ 우리에게 누구도 이길 수 없는 강력한 무기가 생겼다 . 할 수 있다 ! 라는 생각으로 함께 나아가 자 ” 라 며 격려하였다 . 루마 버텍스 시리즈는 루마 코리아의 제품개발에 대한 아이디어와 함께, 세계판매 1위 제조 기업인 루마의 첨단 신기술이 적용된 최고의 썬팅필름이다. 세계 최고 품질의 루마 버텍스! All, Any, Always with LLumar VERTEX"
378,루마 썬팅 경기 남부 지역 워크숍 안내(2017-06-11),2017.06.13,7803,"6 월 11 일 용인에 위치한 무릉도원에서 루마 썬팅 경기 남부 지역 전문점 워크숍이 있었다 . 이 날 행사는 루마 본사 임원과 각 지역 총판 , 경기 남부 지역 대리점 대표와 가족 등 60 ~70 명 가량 참가하였다 . 준비한 식사를 마치고 간단한 친목 경기와 시상으로 진행 되었으며 각 전문점마다 친목과 단합의 시간을 갖았다 . 본사김승양 전무이사는 “ 장기적인 경기 침체로 어려운 시기에 서로 단합 하여 다 함께 잘 극복하자 ” 는 메세지와 준비한 상품과 부상을 전달하였다 . 경기 남부 지역 박종상 총판 사장은 “ 이 워크샵을 계기로 더 좋은 시공 품질과 고객 서비스로 나갈 것 ” 이라고 포부를 밝혔다 . 축하 메세지를 전달하는 김승양 전무이사 국내에는 수많은 썬팅브랜드들이 난립하고 있습니다 . 자고나면 새로운 썬팅브랜드가 생겨날 정도로 썬팅브랜 이들은 제조원이 어디인지 아무제품 그들은 모두들 명품을 외치고있고 세계적인 제조원과 제휴로 생산되었다는 등 허무맹랑한 가짜뉴스를 양산하고 어수룩한 외국모델을 앞세 가짜 명품들이 판치는 어지러운국내 시장에서 루마 버텍스 시리즈는 투명한 프리미엄 썬팅시장을 이끌어가게 루마 코리아는 끊임없이 노력하고 있습니다 . 국내 썬팅 시장은 춘추전국 시대와 같습니 다 . 자고 일어나면 새로운 브랜드가 생기고 “ 국내 순수 기술 ” , “ 해외 직수입 ” 등 듣기 좋은 말로 현혹하고 있습니다.  자동차 전장 업체들도 세컨 ( second ) 브랜드로 썬팅 시장에 뛰어들고 있는 것을 볼 수 있습니다 . 이 제품들은 적법한 인 증 절차와 검증이 되지 않은 제품들로 문제 발생시 오로지 고객들이 모든 문제를 짊어져야 합니다 . 썬팅 시공은 비용도 많이 소요되며 재 시공시에는 여러 불편함을 감수해야합니다 . 여름의 시작 인 지금 썬팅을 생각하고 있는 분들이라면 썬팅 전문 업체인지 확실한 제품인지 보증 및 AS 는 잘되는지 잘 검색하고 확인해서 좋은 제품으로 시공하시길 당부 드립니다 . 가장 편한 방법은 루마 홈페이지에서 루마 전문점을 검색 후 예약 방문하시면 끝 !"
377,루마 버텍스 시리즈 출시 임박!,2017.06.07,8496,"루마 “ 버텍스 시리즈 ” 로 다시 한번자동차 썬팅 시장의 부흥을 점화하다 ! 현재 국내자동차 시장은 장기화된 경기 침체로 몸살을 앓고있다 . 완성 차 업체와 내 외장 튜닝 시장은 이른바 아사 ( 餓死 ) 상태다 . 신제품 개발과 획기적인 마케팅 전략이 시급히 필요한 시기이다 . 이에 루마 코리아는 국내 최고 “ 버텍스 ” 의 프리미엄급 썬팅 필름의 연장선으로 “ 버텍스 시리즈 ” 를 선보일 계획이다 . 다양한 국내 소비자의 패턴과 트렌드를 분석하고한 단계 더 업그레이드된 컬러와 기능성을 갖춘 새로운 제품을 개발하였다 . 오랜 시간동안 미국 제조원 스텝들이 한국에 여러 번 들어와서 제품을 분석하고 . 루마 코리아에서도 프리미엄 썬팅필름 개발을 위해 다양한 아이디어를 제시하였다 . 버텍스시리즈의 완성을 위해 루마 썬팅 한국담당 매니저와 루마코리아 기획팀이 함께 미국 제조원을 방문하였다 . 새 생명을잉태한 산모가 10 개월의 긴 시간을 참고 인내하여 결실을 얻듯 새로운 제품이 탄생하기 위해서 많은 어려움과노력이 소요되었다 . 이제 눈물과 땀으로 만든 루마 코리아의 새로운 제품이 고객을 기다리고 있다 . 제작사인미국 본사에서 버텍스 시리즈 제품의 평가에서도 컬러 , 선명도 , 성능 , 단단한 견고성 등 기대하던 작품이 완성된 것처럼 모두들 흡족히 만족하였다는 후문이다 . 루마 버텍스 시리즈는 500, 600, 650, 700, 900 등 5 가지 제품군이출시 될 예정이다 . PS 국내에는수많은 썬팅브랜드들이 난립하고 있습니다 . 자고나면 새로운 썬팅브랜드가 생겨날 정도로 썬팅브랜드 천지입니다 . 이들은 제조원이 어디인지 아무 제품이나 재 편집한 짜집기 브랜드들이 주류를 이루고 있습니다 . 그들은 모두들 명품을 외치고 있고 세계적인 제조원과 제휴로 생산되었다는 등 허무맹랑한 가짜뉴스를 양산하고 어수룩한 외국모델을앞세워 영상까지 제작하는 치밀함도 있습니다 . 가짜 명품들이 판치는 어지러운 국내 시장에서 루마 버텍스 시리즈는 투명한 프리미엄 썬팅시장을이끌어가게 될 것입니다 . 루마 버텍스로 보는 세상은 다릅니다 . 투명한 브랜드 , 정직한 브랜드 , 사회공헌에 앞장서는브랜드 ! 루마 버텍스는 그런 세상을 바라 봅니다 ."
